,School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,Buyout,Rank,Games Won,Games Lost,Games Tied,Games Played,Win_Percent,Fuzzy_Score_Record,match_name_Record,School_Record,Stadium,City,State_x,Capacity,Record1,Built,Expanded,Surface,Conference_Stadium,Capacity_Thousands,Fuzzy_Score_Stadium,match_name_Stadium,School_Stadium,State_y,GSR,FGR,Conference_GradFB,Fuzzy_Score_GradFB,match_name_GradFB,School_FBgrad,Total Revenue,Total Expenses,Total Allocated,FinancialRank,Percent_Allocated,Conference_Finance,Fuzzy_Score_finance,match_name_finance,School_finance
17,Central Florida,AAC,Josh Heupel,1700000,1700000,250000,--,"$3,587,500 ",81t,4,8,0,12,0.33333,100,Central Florida,Central Florida,,,,,,,,,,,,,,,,,,,,,56327225,56327225,27661927,57,49.11,AAC,100,Central Florida,Central Florida
18,Central Michigan,MAC,John Bonamego,655000,655000,415000,45000,"$1,125,000 ",22t,10,4,0,14,0.71429,100,Central Michigan,Central Michigan,Kelly/Shorts Stadium,Mount Pleasant,MI,30255,35127,1972,1997,FieldTurf,MAC,30.255,100,Central Michigan,Central Michigan,MI,70,59,MAC,100,Central Michigan,Central Michigan,34692784,31792125,25077606,83,72.28,MAC,100,Central Michigan,Central Michigan
19,Charlotte,C-USA,Brad Lambert,625000,625000,120000,0,"$556,389 ",,,,,,,,,,McColl–Richardson Field at Jerry Richardson Stadium,Charlotte,NC,15314,19151,2013,,Matrix Artificial Turf,C-USA,15.314,100,Charlotte,Charlotte,,,,,,,,37931802,33246728,25709896,76,67.78,C-USA,100,Charlotte,Charlotte
20,Cincinnati,AAC,Luke Fickell,2000000,2000000,625000,0,"$7,100,000 ",38t,8,5,0,13,0.61538,100,Cincinnati,Cincinnati,,,,,,,,,,,,,,OH,60,63,AAC,100,Cincinnati,Cincinnati,60458195,62804292,26745506,54,44.24,AAC,100,Cincinnati,Cincinnati
21,Clemson,ACC,Dabo Swinney,6205000,6543350,1125000,500000,"$35,000,000 ",38t,8,5,0,13,0.61538,100,Clemson,Clemson,Frank Howard Field at Clemson Memorial Stadium,Clemson,SC,81500,86092,1942,2006,Grass,ACC,81.5,100,Clemson,Clemson,SC,77,59,ACC,100,Clemson,Clemson,112600964,111126235,5472888,26,4.86,ACC,100,Clemson,Clemson
22,Coastal Carolina,Sun Belt,Joe Moglia,400000,400000,800000,25000,"$516,667 ",,,,,,,,,,Brooks Stadium,Conway,SC,20000,,2003,2018,FieldTurf,Sun Belt,20,100,Coastal Carolina,Coastal Carolina,,,,,,,,33703994,33704483,28251293,88,83.82,Sun Belt,100,Coastal Carolina,Coastal Carolina
23,Colorado,Pac-12,Mike MacIntyre,2878500,2878500,2150000,297000,"$10,314,583 ",107t,2,10,0,12,0.16667,100,Colorado,Colorado,Folsom Field,Boulder,CO,50183,54972,1924,2003,Grass,Pac-12,50.183,100,Colorado,Colorado,,,,,,,,94226111,90640627,12577570,38,13.35,Pac-12,100,Colorado,Colorado
24,Colorado State,Mt. West,Mike Bobo,1800000,1800000,905000,50000,"$8,000,000 ",81t,4,8,0,12,0.33333,100,Colorado State,Colorado State,,,,,,,,,,,,,,CO,57,48,Mt. West,100,Colorado State,Colorado State,44672317,43965622,23265238,69,52.08,Mt. West,100,Colorado State,Colorado State
25,Connecticut,AAC,Randy Edsall,1100000,1100000,650000,129000,"$1,000,000 ",81t,4,8,0,12,0.33333,100,Connecticut,Connecticut,,,,,,,,,,,,,,CT,76,55,AAC,100,Connecticut,Connecticut,83374223,83121820,42227612,49,50.65,AAC,100,Connecticut,Connecticut
26,Duke,ACC,David Cutcliffe,2540928,2540928,--,--,--,117t,0,12,0,12,0,100,Duke,Duke,Brooks Field at Wallace Wade Stadium,Durham,NC,40000,57500,1929,2016,Latitude 36 Bermuda Grass,ACC,40,100,Duke,Duke,NC,93,86,ACC,100,Duke,Duke,,,,,,,,,
27,East Carolina,AAC,Scottie Montgomery,1102500,1102500,850000,0,"$1,233,333 ",50t,7,6,0,13,0.53846,100,East Carolina,East Carolina,,,,,,,,,,,,,,,,,,,,,48312311,48387287,19739500,61,40.86,AAC,100,East Carolina,East Carolina
28,Eastern Michigan,MAC,Chris Creighton,460000,460000,395000,10000,"$950,000 ",113t,1,11,0,12,0.08333,100,Eastern Michigan,Eastern Michigan,Rynearson Stadium,Ypsilanti,MI,30200,26188,1969,1992,FieldTurf,MAC,30.2,100,Eastern Michigan,Eastern Michigan,MI,55,62,MAC,100,Eastern Michigan,Eastern Michigan,32311247,32311246,23109498,92,71.52,MAC,100,Eastern Michigan,Eastern Michigan
29,Florida,SEC,Dan Mullen,6070000,6070000,925000,--,"$12,000,000 ",2,13,1,0,14,0.92857,100,Florida,Florida,Steve Spurrier-Florida Field at Ben Hill Griffin Stadium,Gainesville,FL,88548,90916,1930,2003,Grass,SEC,88.548,100,Florida,Florida,FL,80,42,SEC,100,Florida,Florida,149165475,131789499,1567806,8,1.05,SEC,100,Florida,Florida
30,Florida Atlantic,C-USA,Lane Kiffin,1000000,1000000,1150000,40000,"$2,850,000 ",72t,5,7,0,12,0.41667,100,Florida Atlantic,Florida Atlantic,FAU Stadium,Boca Raton,FL,30000,29103,2011,,Celebration Bermuda Grass,C-USA,30,100,Florida Atlantic,Florida Atlantic,,,,,,,,34509259,34102683,23953161,84,69.41,C-USA,100,Florida Atlantic,Florida Atlantic
31,Florida International,C-USA,Butch Davis,945000,945000,550000,35000,"$3,185,626 ",117t,0,12,0,12,0,100,Florida International,Florida International,,,,,,,,,,,,,,,,,,,,,33389929,33003699,24028758,89,71.96,C-USA,100,Florida International,Florida International
32,Florida State,ACC,Willie Taggart,5000000,5000000,1475000,--,"$21,958,333 ",98t,2,6,0,8,0.25,100,Florida State,Florida State,Bobby Bowden Field at Doak S. Campbell Stadium,Tallahassee,FL,79560,84409,1950,2003,Grass,ACC,79.56,100,Florida State,Florida State,FL,52,42,ACC,100,Florida State,Florida State,144514413,143373261,7446443,13,5.15,ACC,100,Florida State,Florida State
33,Fresno State,Mt. West,Jeff Tedford,1550000,1550000,2765000,1240000,"$5,440,000 ",81t,4,8,0,12,0.33333,100,Fresno State,Fresno State,,,,,,,,,,,,,,,,,,,,,46215249,44119522,20634658,66,44.65,Mt. West,100,Fresno State,Fresno State
34,Georgia,SEC,Kirby Smart,6603600,6603600,1150000,1350000,"$27,917,500 ",26t,9,4,0,13,0.69231,100,Georgia,Georgia,Sanford Stadium,Athens,GA,92746,92746 ,1929,2004,Grass,SEC,92.746,100,Georgia,Georgia,GA,40,39,SEC,100,Georgia,Georgia,157852479,119218908,3273422,6,2.07,SEC,100,Georgia,Georgia
35,Georgia Southern,Sun Belt,Chad Lunsford,650000,650000,295000,--,"$83,333 ",,,,,,,,,,Allen E. Paulson Stadium,Statesboro,GA,25000,25735,1984,2014,Shaw Legion 41 Synthetic Turf,Sun Belt,25,100,Georgia Southern,Georgia Southern,,,,,,,,28895052,28761605,16747677,105,57.96,Sun Belt,100,Georgia Southern,Georgia Southern
36,Georgia State,Sun Belt,Shawn Elliott,569000,569000,220000,60000,"$1,500,000 ",,,,,,,,,,Georgia State Stadium,Atlanta,GA,25000,24333,1996,2017,Artificial Turf,Sun Belt,25,100,Georgia State,Georgia State,,,,,,,,30230203,29859420,22423489,101,74.18,Sun Belt,100,Georgia State,Georgia State
