,School,Conference,Coach,SchoolPay,TotalPay,Bonus,BonusPaid,Buyout,Rank,Games Won,Games Lost,Games Tied,Games Played,Win_Percent,Fuzzy_Score_Record,match_name_Record,School_Record,Stadium,City,State_x,Capacity,Record1,Built,Expanded,Surface,Conference_Stadium,Capacity_Thousands,Fuzzy_Score_Stadium,match_name_Stadium,School_Stadium,State_y,GSR,FGR,Conference_GradFB,Fuzzy_Score_GradFB,match_name_GradFB,School_FBgrad,Total Revenue,Total Expenses,Total Allocated,FinancialRank,Percent_Allocated,Conference_Finance,Fuzzy_Score_finance,match_name_finance,School_finance
67,Navy,AAC,Ken Niumatalolo,2163000,2163000,--,--,--,26t,9,4,0,13,0.69231,100,Navy,Navy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Nebraska,Big Ten,Scott Frost,5000000,5000000,950000,--,"$25,416,667 ",34t,9,5,0,14,0.64286,100,Nebraska,Nebraska,Memorial Stadium Tom Osborne Field,Lincoln,NE,86047,91585,1923,2017 ,FieldTurf,Big Ten,86.047,100,Nebraska,Nebraska,,,,,,,,120205090,112571632,0,23,0,Big Ten,100,Nebraska,Nebraska
69,Nevada,Mt. West,Jay Norvell,500000,500000,210000,0,"$900,000 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36955558,38982774,12477955,78,33.76,Mt. West,100,Nevada,Nevada
70,Nevada-Las Vegas,Mt. West,Tony Sanchez,600000,600000,260000,0,"$950,000 ",107t,2,10,0,12,0.16667,100,Nevada-Las Vegas,Nevada-Las Vegas,,,,,,,,,,,,,,NV,46,39,Mt. West,91,Nevada-Las Vegas,"Nevada, Las Vegas",47327478,47476606,21622440,65,45.69,Mt. West,100,Nevada-Las Vegas,Nevada-Las Vegas
71,New Mexico,Mt. West,Bob Davie,822690,823740,340000,0,"$1,303,294 ",69t,6,7,0,13,0.46154,100,New Mexico,New Mexico,,,,,,,,,,,,,,NM,49,39,Mt. West,100,New Mexico,New Mexico,44421019,44356217,11694978,70,26.33,Mt. West,100,New Mexico,New Mexico
72,New Mexico State,Ind.,Doug Martin,419640,419640,220000,20000,"$1,532,790 ",81t,4,8,0,12,0.33333,100,New Mexico State,New Mexico State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,North Carolina,ACC,Larry Fedora,2575000,2575000,900000,50000,"$12,215,625 ",98t,3,9,0,12,0.25,100,North Carolina,North Carolina,Kenan Memorial Stadium,Chapel Hill,NC,51000,62000,1927,2011,Grass,ACC,51,100,North Carolina,North Carolina,,,,,,,,96551626,96540823,8785137,35,9.1,ACC,100,North Carolina,North Carolina
74,North Carolina State,ACC,Dave Doeren,3000000,3000000,1350000,275000,"$6,125,000 ",98t,3,9,0,12,0.25,100,North Carolina State,North Carolina State,,,,,,,,,,,,,,NC,57,41,ACC,100,North Carolina State,North Carolina State,83741572,86924779,6551791,47,7.82,ACC,100,North Carolina State,North Carolina State
75,North Texas,C-USA,Seth Littrell,1425000,1425000,580000,130000,"$4,425,000 ",98t,3,9,0,12,0.25,100,North Texas,North Texas,Apogee Stadium,Denton,TX,30850,28075,2011,,PowerBlade Artificial Turf,C-USA,30.85,100,North Texas,North Texas,,,,,,,,32150203,36363381,21398461,94,66.56,C-USA,100,North Texas,North Texas
76,Northern Illinois,MAC,Rod Carey,633460,633460,205000,42500,"$1,822,918 ",50t,7,6,0,13,0.53846,100,Northern Illinois,Northern Illinois,,,,,,,,,,,,,,IL,61,53,MAC,100,Northern Illinois,Northern Illinois,25795597,25661395,16816199,121,65.19,MAC,100,Northern Illinois,Northern Illinois
77,Northwestern,Big Ten,Pat Fitzgerald,3619775,3619775,--,--,--,81t,4,8,0,12,0.33333,100,Northwestern,Northwestern,Ryan Field,Evanston,IL,47130,55752,1926,1997,Grass,Big Ten,47.13,100,Northwestern,Northwestern,IL,91,79,Big Ten,100,Northwestern,Northwestern,,,,,,,,,
78,Notre Dame,Ind.,Brian Kelly,2129638,2129638,--,--,--,17t,10,3,0,13,0.76923,100,Notre Dame,Notre Dame,,,,,,,,,,,,,,IN,95,84,Ind.,100,Notre Dame,Notre Dame,,,,,,,,,
79,Ohio,MAC,Frank Solich,580331,580331,333833,60772,"$558,275 ",34t,9,5,0,14,0.64286,100,Ohio,Ohio,Peden Stadium,Athens,OH,24000,25893,1929,2001,FieldTurf,MAC,24,100,Ohio,Ohio,OH,76,68,MAC,100,Ohio,Ohio,32234688,32621410,20090007,93,62.32,MAC,100,Ohio,Ohio
80,Ohio State,Big Ten,Urban Meyer,7600000,7600000,775000,350000,"$38,058,402 ",3t,12,1,0,13,0.92308,100,Ohio State,Ohio State,Ohio Stadium,Columbus,OH,102082,110045,1922,2014,FieldTurf,Big Ten,102.082,100,Ohio State,Ohio State,OH,55,49,Big Ten,83,Ohio State,The Ohio State,185409602,173507435,0,3,0,Big Ten,100,Ohio State,Ohio State
81,Oklahoma,Big 12,Lincoln Riley,4800000,4800000,700000,180000,"$20,833,333 ",14t,11,3,0,14,0.78571,100,Oklahoma,Oklahoma,Gaylord Family – Oklahoma Memorial Stadium at Owen Field,Norman,OK,86112,88308,1925,2016,Grass,Big 12,86.112,100,Oklahoma,Oklahoma,OK,52,44,Big 12,100,Oklahoma,Oklahoma,155238481,132910780,0,7,0,Big 12,100,Oklahoma,Oklahoma
82,Oklahoma State,Big 12,Mike Gundy,5000000,5000000,900000,62500,"$16,250,000 ",50t,7,6,0,13,0.53846,100,Oklahoma State,Oklahoma State,Boone Pickens Stadium,Stillwater,OK,60218,60218,1919,2005,Astroturf 3D Decade,Big 12,60.218,100,Oklahoma State,Oklahoma State,OK,65,67,Big 12,100,Oklahoma State,Oklahoma State,91644865,89833094,3673085,40,4.01,Big 12,100,Oklahoma State,Oklahoma State
83,Old Dominion,C-USA,Bobby Wilder,654667,654667,504895,0,"$1,200,000 ",,,,,,,,,,Foreman Field at S. B. Ballard Stadium,Norfolk,VA,20118,20118,1936,2009,AstroTurf GameDay Grass 3D,C-USA,20.118,100,Old Dominion,Old Dominion,,,,,,,,46203813,46181753,28681512,67,62.08,C-USA,100,Old Dominion,Old Dominion
84,Oregon,Pac-12,Mario Cristobal,2500000,2500000,1825000,--,"$5,208,333 ",50t,7,6,0,13,0.53846,100,Oregon,Oregon,Autzen Stadium,Eugene,OR,54000,60055,1967,2002,FieldTurf,Pac-12,54,100,Oregon,Oregon,OR,59,52,Pac-12,100,Oregon,Oregon,145417315,119945650,271222,12,0.19,Pac-12,100,Oregon,Oregon
85,Oregon State,Pac-12,Jonathan Smith,1900008,1900008,1275000,--,"$4,037,517 ",22t,10,4,0,14,0.71429,100,Oregon State,Oregon State,Reser Stadium,Corvallis,OR,45674,46469,1953,2005,FieldTurf,Pac-12,45.674,100,Oregon State,Oregon State,OR,60,58,Pac-12,100,Oregon State,Oregon State,78959875,82730626,7126768,52,9.03,Pac-12,100,Oregon State,Oregon State
86,Penn State,Big Ten,James Franklin,4800000,4800000,1000000,300000,"$18,375,000 ",26t,9,4,0,13,0.69231,100,Penn State,Penn State,Beaver Stadium,University Park,PA,106572,110889,1960,2001,Grass,Big Ten,106.572,100,Penn State,Penn State,,,,,,,,144017055,138724055,0,14,0,Big Ten,100,Penn State,Penn State
87,Pittsburgh,ACC,Pat Narduzzi,3017718,3017718,--,--,--,60t,6,6,0,12,0.5,100,Pittsburgh,Pittsburgh,Heinz Field,Pittsburgh,PA,68400,69983,2001,,Grass,ACC,68.4,100,Pittsburgh,Pittsburgh,,,,,,,,,,,,,,,,
88,Purdue,Big Ten,Jeff Brohm,3800000,3800000,1290000,180000,"$21,516,667 ",49,8,6,0,14,0.57143,100,Purdue,Purdue,Ross–Ade Stadium,West Lafayette,IN,57236,71629,1924,2006,Grass,Big Ten,57.236,100,Purdue,Purdue,IN,68,56,Big Ten,100,Purdue,Purdue,84841133,85709495,0,46,0,Big Ten,100,Purdue,Purdue
89,Rutgers,Big Ten,Chris Ash,2200000,2200000,960000,50000,"$10,350,000 ",6t,11,2,0,13,0.84615,100,Rutgers,Rutgers,HighPoint.com Stadium,Piscataway,NJ,52454,53774,1994,2009,FieldTurf,Big Ten,52.454,100,Rutgers,Rutgers,,,,,,,,96883027,99193280,33087478,34,34.15,Big Ten,100,Rutgers,Rutgers
90,San Diego State,Mt. West,Rocky Long,872576,873576,720000,95000,"$447,412 ",98t,3,9,0,12,0.25,100,San Diego State,San Diego State,,,,,,,,,,,,,,CA,76,67,Mt. West,100,San Diego State,San Diego State,52454787,51569852,24322966,58,46.37,Mt. West,100,San Diego State,San Diego State
91,San Jose State,Mt. West,Brent Brennan,590424,590424,210000,0,"$1,476,060 ",26t,9,4,0,13,0.69231,100,San Jose State,San Jose State,,,,,,,,,,,,,,,,,,,,,31252553,30676330,21011051,98,67.23,Mt. West,100,San Jose State,San Jose State
92,South Alabama,Sun Belt,Steve Campbell,600000,600000,295000,--,"$918,333 ",,,,,,,,,,Ladd–Peebles Stadium,Mobile,AL,40000,38129,1948,2009,FieldTurf,Sun Belt,40,100,South Alabama,South Alabama,,,,,,,,30693877,27949252,20664956,99,67.33,Sun Belt,100,South Alabama,South Alabama
93,South Carolina,SEC,Will Muschamp,4200000,4200000,1400000,100000,"$18,650,000 ",38t,8,5,0,13,0.61538,100,South Carolina,South Carolina,Williams-Brice Stadium,Columbia,SC,80250,85199,1934,1996,Grass,SEC,80.25,100,South Carolina,South Carolina,,,,,,,,136032845,129317382,0,16,0,SEC,100,South Carolina,South Carolina
94,South Florida,AAC,Charlie Strong,1000000,1000000,815000,70000,"$192,308 ",26t,9,4,0,13,0.69231,100,South Florida,South Florida,,,,,,,,,,,,,,FL,66,61,AAC,100,South Florida,South Florida,49960338,48227500,21503730,59,43.04,AAC,100,South Florida,South Florida
95,Southern California,Pac-12,Clay Helton,2625965,2625965,--,--,--,,,,,,,,,,Los Angeles Memorial Coliseum,Los Angeles,CA,77500,105236,1923,2008,Grass,Pac-12,77.5,100,Southern California,Southern California,CA,55,52,Pac-12,100,Southern California,Southern California,,,,,,,,,
96,Southern Mississippi,C-USA,Jay Hopson,500000,500000,870000,15000,"$1,583,333 ",,,,,,,,,,,,,,,,,,,,,,,MS,78,73,C-USA,85,Southern Mississippi,The of Southern Mississippi,23984639,25251618,8832604,126,36.83,C-USA,100,Southern Mississippi,Southern Mississippi
97,Stanford,Pac-12,David Shaw,4311543,4311543,--,--,--,113t,1,11,0,12,0.08333,100,Stanford,Stanford,Stanford Stadium,Stanford,CA,50424,51607,2006,,Grass,Pac-12,50.424,100,Stanford,Stanford,CA,94,91,Pac-12,100,Stanford,Stanford,,,,,,,,,
98,Syracuse,ACC,Dino Babers,2401206,2401206,--,--,--,81t,4,8,0,12,0.33333,100,Syracuse,Syracuse,Carrier Dome,Syracuse,NY,49250,50564,1980,2022,FieldTurf,ACC,49.25,100,Syracuse,Syracuse,,,,,,,,,,,,,,,,
99,Tennessee,SEC,Jeremy Pruitt,3846000,3846000,1200000,--,"$11,780,000 ",26t,9,4,0,13,0.69231,100,Tennessee,Tennessee,Neyland Stadium,Knoxville,TN,102455,109061,1921,2010,Grass,SEC,102.455,100,Tennessee,Tennessee,,,,,,,,145653191,134880229,0,11,0,SEC,100,Tennessee,Tennessee
100,Texas,Big 12,Tom Herman,5500000,5500000,725000,75000,"$15,416,667 ",17t,10,3,0,13,0.76923,100,Texas,Texas,Darrell K Royal–Texas Memorial Stadium,Austin,TX,100119,103507,1924,2009,FieldTurf,Big 12,100.119,100,Texas,Texas,,,,,,,,214830647,207022323,0,1,0,Big 12,100,Texas,Texas
101,Texas A&M,SEC,Jimbo Fisher,7500000,7500000,1350000,--,"$68,125,000 ",26t,9,4,0,13,0.69231,100,Texas A&M,Texas A&M,Kyle Field,College Station,TX,102733,110633,1904,2015,Grass,SEC,102.733,100,Texas A&M,Texas A&M,,,,,,,,211960034,146546229,0,2,0,SEC,100,Texas A&M,Texas A&M
102,Texas Christian,Big 12,Gary Patterson,4840717,4840717,--,--,--,6t,11,2,0,13,0.84615,100,Texas Christian,Texas Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Texas State,Sun Belt,Everett Withers,700000,700000,70833,0,"$773,958 ",,,,,,,,,,Jim Wacker Field at Bobcat Stadium,San Marcos,TX,30000,33006,1981,2012,FieldTurf Duraspine Pro,Sun Belt,30,100,Texas State,Texas State,,,,,,,,38445832,35915260,27787153,75,72.28,Sun Belt,100,Texas State,Texas State
104,Texas Tech,Big 12,Kliff Kingsbury,3703975,3703975,1500000,25000,"$4,231,250 ",38t,8,5,0,13,0.61538,100,Texas Tech,Texas Tech,Jones AT&T Stadium,Lubbock,TX,60862,61836,1947,2013,FieldTurf,Big 12,60.862,100,Texas Tech,Texas Tech,TX,73,63,Big 12,100,Texas Tech,Texas Tech,88804476,86984083,5799878,43,6.53,Big 12,100,Texas Tech,Texas Tech
105,Texas-El Paso,C-USA,Dana Dimel,700000,700000,741665,--,"$2,991,667 ",72t,5,7,0,12,0.41667,100,Texas-El Paso,Texas-El Paso,,,,,,,,,,,,,,TX,44,37,C-USA,83,Texas-El Paso,Texas at El Paso,31781343,32039189,18486004,95,58.17,C-USA,100,Texas-El Paso,Texas-El Paso
106,Texas-San Antonio,C-USA,Frank Wilson,1100000,1100000,185000,17500,"$3,562,500 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28772631,30104385,17385928,107,60.43,C-USA,100,Texas-San Antonio,Texas-San Antonio
107,Toledo,MAC,Jason Candle,1125000,1125000,585000,210000,"$3,558,333 ",72t,5,7,0,12,0.41667,100,Toledo,Toledo,Glass Bowl,Toledo,OH,26248,36852,1937,1990,FieldTurf,MAC,26.248,100,Toledo,Toledo,OH,68,63,MAC,100,Toledo,Toledo,32925921,32925921,21073807,90,64,MAC,100,Toledo,Toledo
108,Troy,Sun Belt,Neal Brown,810000,810000,490000,100000,"$2,911,667 ",38t,8,5,0,13,0.61538,100,Troy,Troy,Veterans Memorial Stadium at Larry Blakeney Field,Troy,AL,30402,29013,1950,2003,ProGrass,Sun Belt,30.402,100,Troy,Troy,AL,77,52,Sun Belt,100,Troy,Troy,29962107,29962107,21711635,102,72.46,Sun Belt,100,Troy,Troy
109,Tulane,AAC,Willie Fritz,1629000,1629000,--,--,--,81t,4,8,0,12,0.33333,100,Tulane,Tulane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Tulsa,AAC,Philip Montgomery,1518177,1518177,--,--,--,38t,8,5,0,13,0.61538,100,Tulsa,Tulsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,UCLA,Pac-12,Chip Kelly,3300000,3300000,1085000,--,"$9,000,000 ",50t,7,6,0,13,0.53846,100,UCLA,UCLA,Rose Bowl Stadium,Pasadena,CA,90888,106869,1921,1949,Grass,Pac-12,90.888,100,UCLA,UCLA,,,,,,,,104106646,104106646,2708118,29,2.6,Pac-12,100,UCLA,UCLA
112,Utah,Pac-12,Kyle Whittingham,3787917,3787917,935000,279167,"$9,250,000 ",38t,8,5,0,13,0.61538,100,Utah,Utah,Rice-Eccles Stadium,Salt Lake City,UT,45807,46768,1998,1998,FieldTurf CoolPlay,Pac-12,45.807,100,Utah,Utah,,,,,,,,83672639,81620307,12421715,48,14.85,Pac-12,100,Utah,Utah
113,Utah State,Mt. West,Matt Wells,900000,900000,765000,65000,"$2,122,917 ",113t,1,11,0,12,0.08333,100,Utah State,Utah State,,,,,,,,,,,,,,,,,,,,,34398296,34213406,18911117,85,54.98,Mt. West,100,Utah State,Utah State
114,Vanderbilt,SEC,Derek Mason,2812523,2812523,--,--,--,81t,4,8,0,12,0.33333,100,Vanderbilt,Vanderbilt,Vanderbilt Stadium,Nashville,TN,40350,41448,1922,2012,Shaw Sports Legion 46,SEC,40.35,100,Vanderbilt,Vanderbilt,TN,92,86,SEC,100,Vanderbilt,Vanderbilt,,,,,,,,,
115,Virginia,ACC,Bronco Mendenhall,3550000,3550000,2165000,75000,"$18,193,750 ",72t,5,7,0,12,0.41667,100,Virginia,Virginia,Carl Smith Center Home of David A. Harrison III Field at Scott Stadium,Charlottesville,VA,61500,64947,1931,2000,Grass,ACC,61.5,100,Virginia,Virginia,VA,63,60,ACC,100,Virginia,Virginia,92865175,100324517,13942471,39,15.01,ACC,100,Virginia,Virginia
116,Virginia Tech,ACC,Justin Fuente,4000000,4000000,435000,75000,"$15,000,000 ",17t,10,3,0,13,0.76923,100,Virginia Tech,Virginia Tech,Lane Stadium/Worsham Field,Blacksburg,VA,66233,66233,1965,2005,Grass,ACC,66.233,100,Virginia Tech,Virginia Tech,,,,,,,,87427526,90716423,8888537,44,10.17,ACC,100,Virginia Tech,Virginia Tech
117,Wake Forest,ACC,Dave Clawson,1831580,1831580,--,--,--,14t,11,3,0,14,0.78571,100,Wake Forest,Wake Forest,BB&T Field,Winston-Salem,NC,31500,37623,1968,2007,FieldTurf,ACC,31.5,100,Wake Forest,Wake Forest,NC,93,86,ACC,100,Wake Forest,Wake Forest,,,,,,,,,
118,Washington,Pac-12,Chris Petersen,4375000,4377500,1050000,300000,"$26,354,166 ",72t,5,7,0,12,0.41667,100,Washington,Washington,Alaska Airlines Field at Husky Stadium,Seattle,WA,70500,76125,1920,2013,FieldTurf,Pac-12,70.5,100,Washington,Washington,WA,66,59,Pac-12,100,Washington,Washington,128745183,123503513,3742614,20,2.91,Pac-12,100,Washington,Washington
119,Washington State,Pac-12,Mike Leach,3500000,3500000,725000,75000,"$4,900,000 ",60t,6,6,0,12,0.5,100,Washington State,Washington State,Martin Stadium,Pullman,WA,32248,40306,1972,2000,FieldTurf,Pac-12,32.248,100,Washington State,Washington State,WA,57,62,Pac-12,100,Washington State,Washington State,64294520,71801820,5263059,53,8.19,Pac-12,100,Washington State,Washington State
120,West Virginia,Big 12,Dana Holgorsen,3605000,3617500,1000000,90000,"$7,150,000 ",6t,11,2,0,13,0.84615,100,West Virginia,West Virginia,Mountaineer Field at Milan Puskar Stadium,Morgantown,WV,60000,70222,1980,2004,FieldTurf,Big 12,60,100,West Virginia,West Virginia,,,,,,,,110565870,89196193,4167480,27,3.77,Big 12,100,West Virginia,West Virginia
121,Western Kentucky,C-USA,Mike Sanford Jr.,800000,805850,400000,0,"$1,200,000 ",,,,,,,,,,Houchens Industries–L. T. Smith Stadium at Jimmy Feix Field,Bowling Green,KY,22113,23252,1968,2008,FieldTurf,C-USA,22.113,100,Western Kentucky,Western Kentucky,,,,,,,,30439066,30439067,16853917,100,55.37,C-USA,100,Western Kentucky,Western Kentucky
122,Western Michigan,MAC,Tim Lester,800000,800000,346500,39250,"$800,000 ",38t,8,5,0,13,0.61538,100,Western Michigan,Western Michigan,Waldo Stadium,Kalamazoo,MI,30200,36361,1939,2003,FieldTurf,MAC,30.2,100,Western Michigan,Western Michigan,MI,70,69,MAC,100,Western Michigan,Western Michigan,38516531,38271134,24349702,74,63.22,MAC,100,Western Michigan,Western Michigan
123,Wisconsin,Big Ten,Paul Chryst,3750000,3750000,--,290000,"$6,000,000 ",3t,12,1,0,13,0.92308,100,Wisconsin,Wisconsin,Camp Randall Stadium,Madison,WI,80321,83184,1917,2005,FieldTurf,Big Ten,80.321,100,Wisconsin,Wisconsin,,,,,,,,143420668,142930591,2843000,15,1.98,Big Ten,100,Wisconsin,Wisconsin
124,Wyoming,Mt. West,Craig Bohl,1412000,1412000,450000,236000,"$8,016,667 ",60t,6,6,0,12,0.5,100,Wyoming,Wyoming,,,,,,,,,,,,,,WY,73,42,Mt. West,100,Wyoming,Wyoming,40372222,38669544,18452045,72,45.7,Mt. West,100,Wyoming,Wyoming
