Cohort,School,Conference,Sport,State,GSR,FGR
1999,University of Michigan,Big Ten Conference,Football,MI,71,63
1999,Middle Tennessee State University,Sun Belt Conference,Football,TN,52,48
1999,"University of Minnesota, Twin Cities",Big Ten Conference,Football,MN,44,44
1999,Mississippi State University,Southeastern Conference,Football,MS,57,56
1999,Mississippi Valley State University,Southwestern Athletic Conf.,Football,MS,47,36
1999,University of Mississippi,Southeastern Conference,Football,MS,58,49
1999,"University of Missouri, Columbia",Big 12 Conference,Football,MO,52,45
1999,Monmouth University,Northeast Conference,Football,NJ,80,50
1999,Montana State University-Bozeman,Big Sky Conference,Football,MT,58,42
1999,University of Montana,Big Sky Conference,Football,MT,70,62
1999,Morehead State University,Pioneer Football League,Football,KY,36,
1999,Morgan State University,Mid-Eastern Athletic Conf.,Football,MD,63,50
1999,Murray State University,Ohio Valley Conference,Football,KY,69,56
1999,"University of North Carolina, Chapel Hill",Atlantic Coast Conference,Football,NC,70,61
1999,"University of Nebraska, Lincoln",Big 12 Conference,Football,NE,88,75
1999,"University of Nevada, Las Vegas",Mountain West Conference,Football,NV,46,39
1999,"University of Nevada, Reno",Western Athletic Conference,Football,NV,53,38
1999,University of New Hampshire,Atlantic 10 Conference,Football,NH,81,65
1999,New Mexico State University,Western Athletic Conference,Football,NM,55,48
1999,University of New Mexico,Mountain West Conference,Football,NM,49,39
1999,Nicholls State University,Southland Conference,Football,LA,44,35
1999,Norfolk State University,Mid-Eastern Athletic Conf.,Football,VA,45,38
1999,North Carolina A&T State University,Mid-Eastern Athletic Conf.,Football,NC,41,41
1999,North Carolina State University,Atlantic Coast Conference,Football,NC,57,41
1999,North Dakota State University,Independent,Football,ND,75,65
1999,University of North Texas,Sun Belt Conference,Football,TX,55,49
1999,University of Louisiana at Monroe,Sun Belt Conference,Football,LA,66,52
1999,Northeastern University,Atlantic 10 Conference,Football,MA,86,75
1999,Northern Arizona University,Big Sky Conference,Football,AZ,49,42
1999,University of Northern Colorado,Independent,Football,CO,100,70
1999,Northern Illinois University,Mid-American Conference,Football,IL,61,53
1999,University of Northern Iowa,Missouri Valley Football Conference,Football,IA,76,57
1999,Northwestern State University,Southland Conference,Football,LA,55,43
1999,Northwestern University,Big Ten Conference,Football,IL,91,79
1999,University of Notre Dame,Independent,Football,IN,95,84
1999,The Ohio State University,Big Ten Conference,Football,OH,55,49
1999,Ohio University,Mid-American Conference,Football,OH,76,68
1999,Oklahoma State University,Big 12 Conference,Football,OK,65,67
1999,University of Oklahoma,Big 12 Conference,Football,OK,52,44
1999,Oregon State University,Pac-12 Conference,Football,OR,60,58
1999,University of Oregon,Pac-12 Conference,Football,OR,59,52
1999,Pennsylvania State University,Big Ten Conference,Football,PA,80,76
1999,University of Pittsburgh,American Athletic Conference,Football,PA,54,41
1999,Portland State University,Big Sky Conference,Football,OR,59,50
1999,Prairie View A&M University,Southwestern Athletic Conf.,Football,TX,44,35
1999,Purdue University,Big Ten Conference,Football,IN,68,56
1999,University of Rhode Island,Atlantic 10 Conference,Football,RI,69,54
1999,Rice University,Conference USA,Football,TX,84,78
1999,University of Richmond,Atlantic 10 Conference,Football,VA,97,90
1999,Robert Morris University,Northeast Conference,Football,PA,,
1999,"Rutgers, The State University of New Jersey, New Brunswick",American Athletic Conference,Football,NJ,58,50
1999,Sacred Heart University,Northeast Conference,Football,CT,71,67
1999,Saint Francis University (Pennsylvania),Northeast Conference,Football,PA,47,
1999,Saint Peter's University,Metro Atlantic Athletic Conference,Football,NJ,59,
1999,Sam Houston State University,Southland Conference,Football,TX,53,49
1999,Samford University,Ohio Valley Conference,Football,AL,89,67
1999,San Diego State University,Mountain West Conference,Football,CA,76,67
1999,University of San Diego,Pioneer Football League,Football,CA,83,
1999,San Jose State University,Western Athletic Conference,Football,CA,32,33
1999,Savannah State University,Independent,Football,GA,40,40
1999,South Carolina State University,Mid-Eastern Athletic Conf.,Football,SC,60,42
1999,"University of South Carolina, Columbia",Southeastern Conference,Football,SC,64,54
1999,South Dakota State University,Independent,Football,SD,67,50
1999,University of South Florida,American Athletic Conference,Football,FL,66,61
1999,Southeast Missouri State University,Ohio Valley Conference,Football,MO,52,38
1999,University of Southern California,Pac-12 Conference,Football,CA,55,52
1999,Southern Illinois University at Carbondale,Missouri Valley Football Conference,Football,IL,58,50
1999,Southern Methodist University,Conference USA,Football,TX,82,65
1999,The University of Southern Mississippi,Conference USA,Football,MS,78,73
1999,"Southern University, Baton Rouge",Southwestern Athletic Conf.,Football,LA,44,56
1999,Southern Utah University,Independent,Football,UT,75,36
1999,Missouri State University,Missouri Valley Football Conference,Football,MO,47,48
1999,Texas State University,Southland Conference,Football,TX,71,64
1999,University of Louisiana at Lafayette,Sun Belt Conference,Football,LA,61,53
1999,Stanford University,Pac-12 Conference,Football,CA,94,91
1999,Stephen F. Austin State University,Southland Conference,Football,TX,52,46
1999,Stony Brook University,Northeast Conference,Football,NY,50,44
1999,Syracuse University,American Athletic Conference,Football,NY,70,65
1999,Temple University,Independent,Football,PA,45,37
